cycle,true_fault_class,true_fault_name,true_RUL,cht_1_c,cht_1_twin,oil_temp_c,oil_temp_twin,vibration_rms_g,predicted_fault_class,predicted_fault_name,fault_confidence,predicted_RUL,mission_reliability_pct
33,0,healthy,125,94.7,92.4,88.8,89.0,0.091,0,healthy,0.991,124.5,100.0
34,0,healthy,125,91.7,91.4,89.0,88.9,0.088,0,healthy,0.994,126.1,100.0
35,0,healthy,125,92.3,91.8,88.5,89.0,0.08,0,healthy,0.993,124.4,100.0
36,0,healthy,125,92.0,91.5,88.0,89.0,0.089,0,healthy,0.99,125.9,100.0
37,0,healthy,125,89.1,89.8,88.5,88.7,0.098,0,healthy,0.994,125.3,100.0
38,0,healthy,125,89.5,89.1,91.2,88.6,0.081,0,healthy,0.983,125.7,100.0
39,0,healthy,125,88.8,87.3,87.5,88.3,0.085,0,healthy,0.991,125.7,100.0
40,0,healthy,125,85.9,87.4,88.1,88.3,0.085,0,healthy,0.991,125.6,100.0
41,0,healthy,125,89.5,88.5,89.3,88.6,0.092,0,healthy,0.989,125.1,100.0
42,0,healthy,125,87.3,87.1,86.9,88.4,0.093,0,healthy,0.989,124.7,100.0
43,0,healthy,125,86.9,86.8,89.6,88.4,0.083,0,healthy,0.989,125.3,100.0
44,0,healthy,125,84.6,85.3,86.7,88.1,0.095,0,healthy,0.993,124.9,100.0
45,0,healthy,125,83.0,84.8,88.3,88.0,0.098,0,healthy,0.985,125.2,100.0
46,0,healthy,125,83.4,84.3,86.9,88.0,0.094,0,healthy,0.993,125.5,100.0
47,0,healthy,125,84.4,83.9,87.9,87.9,0.095,0,healthy,0.962,125.2,100.0
48,0,healthy,125,84.2,84.0,87.0,88.0,0.105,0,healthy,0.994,124.9,100.0
49,0,healthy,125,83.6,82.1,86.4,87.6,0.092,0,healthy,0.989,124.4,100.0
50,0,healthy,125,80.9,81.8,87.4,87.6,0.127,0,healthy,0.946,123.3,100.0
51,0,healthy,125,79.7,80.9,88.5,87.5,0.084,0,healthy,0.992,124.7,100.0
52,0,healthy,125,78.4,79.5,87.7,87.2,0.088,0,healthy,0.994,125.0,100.0
53,0,healthy,125,80.7,80.8,88.9,87.5,0.083,0,healthy,0.989,125.2,100.0
54,0,healthy,125,78.0,80.7,89.0,87.5,0.086,0,healthy,0.984,123.5,100.0
55,0,healthy,125,80.4,79.5,85.1,87.3,0.085,0,healthy,0.986,125.4,100.0
56,0,healthy,125,78.9,78.7,87.3,87.2,0.082,0,healthy,0.988,125.5,100.0
57,0,healthy,125,81.5,79.1,85.5,87.3,0.114,0,healthy,0.979,124.9,100.0
58,0,healthy,125,75.5,77.7,86.8,87.1,0.107,0,healthy,0.981,125.2,100.0
59,0,healthy,125,77.3,77.4,87.4,87.0,0.11,0,healthy,0.983,124.0,100.0
60,0,healthy,125,76.8,76.4,87.1,86.9,0.098,0,healthy,0.985,125.1,100.0
61,0,healthy,125,58.9,59.4,82.7,83.3,0.11,0,healthy,0.952,122.8,100.0
62,0,healthy,125,58.9,59.2,82.7,83.2,0.091,0,healthy,0.94,123.2,100.0
63,0,healthy,125,62.2,59.8,82.1,83.3,0.106,0,healthy,0.91,121.9,100.0
64,0,healthy,125,58.0,58.7,83.9,83.1,0.086,0,healthy,0.953,124.0,100.0
65,0,healthy,125,57.5,59.6,84.8,83.3,0.108,0,healthy,0.955,123.7,100.0
66,0,healthy,125,57.5,58.9,82.5,83.2,0.09,0,healthy,0.945,123.8,100.0
67,0,healthy,125,57.8,59.7,81.0,83.3,0.112,0,healthy,0.952,123.2,100.0
68,0,healthy,125,61.5,60.8,82.4,83.6,0.093,0,healthy,0.962,123.7,100.0
69,0,healthy,125,61.8,59.8,83.3,83.4,0.114,0,healthy,0.962,122.9,100.0
70,0,healthy,125,61.1,60.1,84.0,83.4,0.099,0,healthy,0.959,122.7,100.0
71,0,healthy,125,58.6,60.0,82.4,83.4,0.097,0,healthy,0.959,123.1,100.0
72,0,healthy,125,58.0,58.2,81.6,83.0,0.115,0,healthy,0.936,121.9,100.0
73,0,healthy,125,61.6,59.4,83.9,83.3,0.095,0,healthy,0.959,122.4,100.0
74,0,healthy,125,59.1,59.8,85.1,83.4,0.11,0,healthy,0.924,122.7,100.0
75,0,healthy,125,57.2,58.4,84.1,83.1,0.113,0,healthy,0.937,122.4,100.0
76,0,healthy,125,59.4,59.4,82.9,83.3,0.093,0,healthy,0.95,122.7,100.0
77,0,healthy,125,61.3,59.5,83.9,83.3,0.131,0,healthy,0.863,120.3,100.0
78,0,healthy,125,59.5,58.9,83.1,83.2,0.123,0,healthy,0.802,118.1,100.0
79,0,healthy,125,60.6,59.1,81.9,83.2,0.123,0,healthy,0.73,117.2,100.0
80,0,healthy,125,61.5,60.4,83.8,83.5,0.088,0,healthy,0.761,120.0,100.0
81,0,healthy,125,56.8,57.7,84.0,82.9,0.096,0,healthy,0.789,120.9,100.0
82,0,healthy,125,59.7,59.8,83.8,83.4,0.104,0,healthy,0.882,121.9,100.0
83,0,healthy,125,60.4,60.4,82.9,83.5,0.106,0,healthy,0.899,122.7,100.0
84,0,healthy,125,58.2,59.7,84.7,83.4,0.093,0,healthy,0.9,121.8,100.0
85,0,healthy,125,60.5,60.5,84.4,83.6,0.113,0,healthy,0.886,122.3,100.0
86,0,healthy,125,58.9,59.5,82.7,83.3,0.1,0,healthy,0.883,122.2,100.0
87,0,healthy,125,58.3,59.3,83.2,83.3,0.105,0,healthy,0.864,122.3,100.0
88,0,healthy,125,59.0,59.8,83.2,83.4,0.084,0,healthy,0.867,120.4,100.0
89,0,healthy,125,59.8,59.6,82.8,83.4,0.095,0,healthy,0.871,121.3,100.0
90,0,healthy,125,56.2,59.5,83.8,83.4,0.101,0,healthy,0.855,119.4,100.0
91,0,healthy,125,59.3,59.8,85.1,83.4,0.106,0,healthy,0.846,120.8,100.0
92,0,healthy,125,58.1,59.4,84.5,83.3,0.104,0,healthy,0.743,117.1,100.0
93,0,healthy,125,58.8,59.4,82.8,83.3,0.1,0,healthy,0.776,117.9,100.0
94,0,healthy,125,59.1,59.3,82.2,83.3,0.087,0,healthy,0.857,121.8,100.0
95,0,healthy,125,59.8,60.2,83.3,83.5,0.111,0,healthy,0.873,122.5,100.0
96,0,healthy,125,58.5,59.4,82.6,83.3,0.125,0,healthy,0.794,121.7,100.0
97,0,healthy,125,60.1,59.3,83.5,83.3,0.111,0,healthy,0.796,118.2,100.0
98,0,healthy,125,57.6,59.4,83.6,83.3,0.088,0,healthy,0.845,120.1,100.0
99,0,healthy,125,60.4,60.1,82.5,83.5,0.086,0,healthy,0.869,120.5,100.0
100,0,healthy,125,60.7,60.4,84.4,83.6,0.116,0,healthy,0.834,120.1,100.0
101,0,healthy,125,61.8,60.5,84.6,83.6,0.124,0,healthy,0.777,120.8,100.0
102,0,healthy,125,60.6,60.2,84.6,83.5,0.096,0,healthy,0.857,121.1,100.0
103,0,healthy,125,59.9,60.4,83.5,83.6,0.085,0,healthy,0.867,120.7,100.0
104,0,healthy,125,59.9,60.0,84.0,83.5,0.094,0,healthy,0.841,120.4,100.0
105,0,healthy,125,59.5,60.3,84.1,83.6,0.105,0,healthy,0.814,119.3,100.0
106,0,healthy,125,57.7,60.4,84.1,83.6,0.126,0,healthy,0.728,120.1,100.0
107,0,healthy,125,57.9,59.7,83.2,83.4,0.09,0,healthy,0.861,119.7,100.0
108,0,healthy,125,59.8,59.5,83.1,83.4,0.1,0,healthy,0.807,119.4,100.0
109,0,healthy,125,61.3,60.9,85.1,83.7,0.095,0,healthy,0.812,120.7,100.0
110,0,healthy,125,61.0,60.2,82.6,83.5,0.096,0,healthy,0.828,120.4,100.0
111,0,healthy,125,60.6,60.8,82.7,83.7,0.083,0,healthy,0.846,122.0,100.0
112,0,healthy,125,59.2,59.6,85.1,83.4,0.152,0,healthy,0.585,120.7,100.0
113,0,healthy,125,60.9,60.0,83.4,83.5,0.099,0,healthy,0.803,120.5,100.0
114,0,healthy,125,58.0,59.4,83.2,83.4,0.091,0,healthy,0.828,119.9,100.0
115,0,healthy,125,60.6,60.6,83.4,83.6,0.085,0,healthy,0.835,120.2,100.0
116,0,healthy,125,61.5,59.9,81.8,83.5,0.083,0,healthy,0.817,120.3,100.0
117,0,healthy,125,58.8,59.9,83.3,83.5,0.081,0,healthy,0.837,121.2,100.0
118,0,healthy,125,59.7,61.3,84.0,83.8,0.083,0,healthy,0.851,121.1,100.0
119,0,healthy,125,59.4,60.6,83.5,83.6,0.096,0,healthy,0.859,121.8,100.0
120,0,healthy,125,60.3,60.6,84.0,83.6,0.081,0,healthy,0.848,122.3,100.0
121,0,healthy,125,60.2,59.6,84.5,83.4,0.111,0,healthy,0.813,119.1,100.0
122,0,healthy,125,58.1,59.3,81.9,83.4,0.091,0,healthy,0.832,121.1,100.0
123,0,healthy,125,60.2,60.8,85.5,83.7,0.085,0,healthy,0.834,122.4,100.0
124,0,healthy,125,59.6,59.1,82.3,83.3,0.089,0,healthy,0.754,118.0,100.0
125,0,healthy,125,59.4,60.0,85.0,83.5,0.097,0,healthy,0.792,118.4,100.0
126,0,healthy,125,59.2,59.9,84.5,83.5,0.085,0,healthy,0.821,120.5,100.0
127,0,healthy,125,59.2,59.8,82.2,83.5,0.107,0,healthy,0.836,119.9,100.0
128,0,healthy,125,61.9,60.1,83.3,83.5,0.087,0,healthy,0.811,119.4,100.0
129,0,healthy,125,58.9,59.8,83.8,83.5,0.091,0,healthy,0.789,118.9,100.0
130,0,healthy,125,60.1,59.7,83.8,83.5,0.096,0,healthy,0.804,118.1,100.0
131,0,healthy,125,62.1,60.5,83.7,83.6,0.08,0,healthy,0.763,117.1,100.0
132,0,healthy,125,61.0,60.9,85.1,83.7,0.08,0,healthy,0.703,115.9,100.0
133,0,healthy,125,58.9,59.4,82.7,83.4,0.085,0,healthy,0.815,117.0,100.0
134,0,healthy,125,62.3,60.5,83.6,83.6,0.085,0,healthy,0.79,115.2,100.0
135,0,healthy,125,60.9,60.7,83.0,83.7,0.098,0,healthy,0.708,111.4,100.0
136,0,healthy,125,60.6,60.6,82.8,83.7,0.102,0,healthy,0.818,120.7,100.0
137,0,healthy,125,58.2,60.2,83.4,83.6,0.088,0,healthy,0.827,117.6,100.0
138,0,healthy,125,57.7,60.0,86.3,83.5,0.087,0,healthy,0.798,119.1,100.0
139,0,healthy,125,59.4,60.8,83.0,83.7,0.099,0,healthy,0.76,119.5,100.0
140,0,healthy,125,59.5,60.6,82.7,83.7,0.116,0,healthy,0.729,119.5,100.0
141,0,healthy,125,59.3,59.3,83.5,83.4,0.096,0,healthy,0.739,118.7,100.0
142,0,healthy,125,60.1,60.3,83.2,83.6,0.093,0,healthy,0.704,118.0,100.0
143,0,healthy,125,60.5,60.4,86.0,83.6,0.098,0,healthy,0.672,118.3,100.0
144,0,healthy,125,62.3,59.8,83.4,83.5,0.095,0,healthy,0.642,117.7,100.0
145,0,healthy,125,59.1,60.2,84.3,83.6,0.086,0,healthy,0.676,118.2,100.0
146,0,healthy,125,60.6,60.6,84.1,83.7,0.091,0,healthy,0.654,118.4,100.0
147,0,healthy,125,60.4,59.9,84.0,83.5,0.112,0,healthy,0.651,115.8,100.0
148,0,healthy,125,59.4,60.5,84.1,83.6,0.106,0,healthy,0.666,114.2,100.0
149,0,healthy,125,60.7,59.8,84.0,83.5,0.09,0,healthy,0.652,109.1,100.0
150,0,healthy,125,58.7,59.7,82.8,83.5,0.094,0,healthy,0.647,114.7,100.0
151,0,healthy,125,60.7,60.7,84.5,83.7,0.109,0,healthy,0.638,116.8,100.0
152,0,healthy,125,60.1,61.0,81.2,83.8,0.095,0,healthy,0.647,118.0,100.0
153,0,healthy,125,60.2,59.7,84.1,83.5,0.084,0,healthy,0.669,117.1,100.0
154,0,healthy,125,61.2,60.9,84.4,83.7,0.102,0,healthy,0.635,117.8,100.0
155,0,healthy,125,60.5,60.3,83.9,83.6,0.113,0,healthy,0.628,117.9,100.0
156,0,healthy,125,61.5,59.1,83.5,83.4,0.098,0,healthy,0.603,118.0,100.0
157,0,healthy,125,60.2,59.6,84.5,83.5,0.09,0,healthy,0.615,114.0,100.0
158,0,healthy,125,59.5,60.7,85.8,83.7,0.097,0,healthy,0.663,116.2,100.0
159,0,healthy,125,60.0,59.4,82.9,83.4,0.093,0,healthy,0.611,116.5,100.0
160,0,healthy,125,61.5,60.0,84.2,83.5,0.113,0,healthy,0.584,115.7,100.0
161,0,healthy,125,59.7,60.3,83.7,83.6,0.094,0,healthy,0.614,114.4,100.0
162,0,healthy,125,61.4,60.5,83.3,83.7,0.086,0,healthy,0.648,116.2,100.0
163,0,healthy,125,60.4,60.4,82.7,83.6,0.098,0,healthy,0.653,114.0,100.0
164,0,healthy,125,62.3,61.1,83.2,83.8,0.082,0,healthy,0.67,114.6,100.0
165,0,healthy,125,58.0,59.8,84.9,83.5,0.109,0,healthy,0.615,114.2,100.0
166,0,healthy,125,60.5,60.3,84.0,83.6,0.103,0,healthy,0.61,115.3,100.0
167,0,healthy,125,57.9,60.5,83.1,83.7,0.09,0,healthy,0.64,116.1,100.0
168,0,healthy,125,62.5,60.6,83.8,83.7,0.098,0,healthy,0.646,116.3,100.0
169,0,healthy,125,59.7,60.8,84.5,83.7,0.1,0,healthy,0.619,115.7,100.0
170,0,healthy,125,60.7,60.0,84.1,83.6,0.091,0,healthy,0.656,114.1,100.0
171,0,healthy,125,60.2,60.6,83.4,83.7,0.1,0,healthy,0.644,116.3,100.0
172,0,healthy,125,59.1,59.7,82.1,83.5,0.084,0,healthy,0.622,115.4,100.0
173,0,healthy,125,59.8,60.1,82.9,83.6,0.099,0,healthy,0.614,121.1,100.0
174,0,healthy,125,58.1,60.4,83.5,83.7,0.09,0,healthy,0.673,117.4,100.0
175,0,healthy,125,60.6,60.7,83.3,83.7,0.086,0,healthy,0.658,115.3,100.0
176,0,healthy,125,56.7,60.5,82.8,83.7,0.085,0,healthy,0.657,113.5,100.0
177,0,healthy,125,61.4,60.2,84.2,83.6,0.081,0,healthy,0.674,111.9,100.0
178,0,healthy,125,61.4,60.1,85.1,83.6,0.096,0,healthy,0.672,117.0,100.0
179,0,healthy,125,60.6,60.4,82.7,83.6,0.086,0,healthy,0.675,116.8,100.0
180,0,healthy,125,59.8,61.3,83.1,83.8,0.09,0,healthy,0.7,114.3,100.0
181,0,healthy,125,61.5,60.5,84.2,83.7,0.115,0,healthy,0.613,115.4,100.0
182,0,healthy,125,60.8,60.3,82.9,83.6,0.096,0,healthy,0.658,116.8,100.0
183,0,healthy,125,57.7,59.3,81.8,83.4,0.096,0,healthy,0.664,113.9,100.0
184,0,healthy,125,58.1,59.6,80.6,83.5,0.086,0,healthy,0.66,116.4,100.0
185,0,healthy,125,60.8,59.8,83.0,83.5,0.088,0,healthy,0.669,115.9,100.0
186,0,healthy,125,60.9,60.5,82.7,83.7,0.091,0,healthy,0.64,116.8,100.0
187,0,healthy,125,60.2,59.5,82.9,83.4,0.105,0,healthy,0.631,117.3,100.0
188,0,healthy,125,60.4,60.3,84.7,83.6,0.117,0,healthy,0.599,117.5,100.0
189,0,healthy,125,59.9,60.0,84.8,83.6,0.086,0,healthy,0.613,119.5,100.0
190,0,healthy,125,59.4,60.1,83.4,83.6,0.114,0,healthy,0.552,119.8,100.0
191,0,healthy,125,59.4,59.8,84.2,83.5,0.094,0,healthy,0.642,116.4,100.0
192,0,healthy,125,59.3,59.6,83.7,83.5,0.096,0,healthy,0.633,115.1,100.0
193,0,healthy,125,57.7,59.3,82.2,83.4,0.097,0,healthy,0.655,116.7,100.0
194,0,healthy,125,59.8,60.2,83.4,83.6,0.086,0,healthy,0.679,117.0,100.0
195,0,healthy,125,58.3,59.8,83.3,83.5,0.109,0,healthy,0.676,112.3,100.0
196,0,healthy,125,58.7,59.2,83.2,83.4,0.086,0,healthy,0.68,111.6,100.0
197,0,healthy,125,57.8,59.9,82.8,83.5,0.096,0,healthy,0.642,112.1,100.0
198,0,healthy,125,59.9,61.6,83.4,83.9,0.101,0,healthy,0.729,117.0,100.0
199,0,healthy,125,57.4,59.6,84.9,83.5,0.093,0,healthy,0.663,116.7,100.0
200,0,healthy,125,61.6,60.6,83.0,83.7,0.096,0,healthy,0.632,114.7,100.0
201,0,healthy,125,58.0,58.3,83.5,83.2,0.086,0,healthy,0.62,113.0,100.0
202,0,healthy,125,60.9,59.5,83.6,83.5,0.085,0,healthy,0.614,112.4,100.0
203,0,healthy,125,60.1,60.2,84.6,83.6,0.081,0,healthy,0.611,112.5,100.0
204,0,healthy,125,58.2,59.6,83.2,83.5,0.1,0,healthy,0.64,114.1,100.0
205,0,healthy,125,60.5,59.3,83.9,83.4,0.084,0,healthy,0.646,113.1,100.0
206,0,healthy,125,60.2,59.6,81.7,83.5,0.087,0,healthy,0.665,115.9,100.0
207,0,healthy,125,59.3,60.1,84.1,83.6,0.121,0,healthy,0.632,115.2,100.0
208,0,healthy,125,60.4,60.7,82.9,83.7,0.085,0,healthy,0.663,116.2,100.0
209,0,healthy,125,60.5,60.1,83.6,83.6,0.115,0,healthy,0.652,114.4,100.0
210,0,healthy,125,61.1,59.2,85.7,83.4,0.082,0,healthy,0.656,115.5,100.0
211,0,healthy,125,59.6,59.3,84.6,83.4,0.092,0,healthy,0.667,117.4,100.0
212,0,healthy,125,59.2,59.3,83.8,83.4,0.101,0,healthy,0.658,117.4,100.0
213,0,healthy,125,55.7,58.9,83.4,83.3,0.112,0,healthy,0.612,115.5,100.0
214,0,healthy,125,59.1,59.3,83.5,83.4,0.081,0,healthy,0.651,114.1,100.0
215,0,healthy,125,60.6,59.2,84.0,83.4,0.112,0,healthy,0.63,108.7,100.0
216,0,healthy,125,59.3,58.7,82.8,83.3,0.087,0,healthy,0.646,107.6,100.0
217,0,healthy,124,59.3,59.8,82.8,83.5,0.086,0,healthy,0.662,109.2,100.0
218,0,healthy,123,59.4,59.5,83.1,83.4,0.082,0,healthy,0.662,112.7,100.0
219,0,healthy,122,59.5,58.9,83.2,83.3,0.085,0,healthy,0.646,111.2,100.0
220,0,healthy,121,57.9,59.3,82.4,83.4,0.102,0,healthy,0.676,113.5,100.0
221,0,healthy,120,58.5,58.7,81.1,83.3,0.09,0,healthy,0.657,115.0,100.0
222,0,healthy,119,56.9,58.9,84.1,83.3,0.087,0,healthy,0.676,116.7,100.0
223,0,healthy,118,60.8,59.5,83.2,83.4,0.113,0,healthy,0.645,114.4,100.0
224,0,healthy,117,59.0,59.4,83.9,83.4,0.102,0,healthy,0.639,112.8,100.0
225,0,healthy,116,59.7,58.8,85.2,83.3,0.081,0,healthy,0.628,112.5,100.0
226,0,healthy,115,58.7,59.2,84.8,83.4,0.081,0,healthy,0.642,112.8,100.0
227,0,healthy,114,58.2,59.0,83.6,83.3,0.084,0,healthy,0.639,112.7,100.0
228,0,healthy,113,56.4,58.5,82.7,83.2,0.12,0,healthy,0.584,110.7,100.0
229,0,healthy,112,60.4,58.9,82.8,83.3,0.081,0,healthy,0.612,109.6,100.0
230,0,healthy,111,60.3,59.2,82.0,83.4,0.125,0,healthy,0.574,107.3,100.0
231,0,healthy,110,58.1,59.1,83.3,83.3,0.115,0,healthy,0.512,110.8,100.0
232,0,healthy,109,56.4,58.0,83.0,83.1,0.085,0,healthy,0.547,111.3,100.0
233,0,healthy,108,59.2,59.0,83.1,83.3,0.086,0,healthy,0.588,113.0,100.0
234,0,healthy,107,56.6,58.8,83.8,83.3,0.1,0,healthy,0.608,112.7,100.0
235,0,healthy,106,55.2,57.8,83.6,83.0,0.109,0,healthy,0.56,109.6,100.0
236,0,healthy,105,59.6,58.3,83.7,83.2,0.105,0,healthy,0.583,107.7,100.0
237,0,healthy,104,56.5,59.0,83.8,83.3,0.093,0,healthy,0.593,108.7,100.0
238,0,healthy,103,57.9,59.5,82.4,83.4,0.098,0,healthy,0.633,113.2,100.0
239,0,healthy,102,58.5,57.8,82.9,83.0,0.084,0,healthy,0.625,111.5,100.0
240,0,healthy,101,59.7,59.2,83.8,83.3,0.107,0,healthy,0.631,112.7,100.0
241,0,healthy,100,57.1,57.6,84.0,83.0,0.097,0,healthy,0.653,110.4,100.0
242,0,healthy,99,60.4,59.4,82.4,83.4,0.129,0,healthy,0.563,115.3,100.0
243,3,cooling_airflow_blockage,98,59.9,58.4,82.6,83.2,0.114,0,healthy,0.549,113.0,100.0
244,3,cooling_airflow_blockage,97,60.3,58.2,82.8,83.1,0.148,1,spark_plug_fouling,0.338,105.2,84.2
245,3,cooling_airflow_blockage,96,60.5,58.7,83.6,83.2,0.094,0,healthy,0.27,107.6,100.0
246,3,cooling_airflow_blockage,95,59.2,58.0,83.1,83.1,0.097,0,healthy,0.302,108.5,100.0
247,3,cooling_airflow_blockage,94,59.8,58.7,84.4,83.2,0.124,4,fuel_injector_clog,0.223,105.7,84.6
248,3,cooling_airflow_blockage,93,61.6,58.4,85.2,83.2,0.088,3,cooling_airflow_blockage,0.629,108.1,86.5
249,3,cooling_airflow_blockage,92,59.0,56.3,83.2,82.7,0.084,3,cooling_airflow_blockage,0.715,107.1,85.7
250,3,cooling_airflow_blockage,91,62.3,57.9,85.9,83.1,0.085,3,cooling_airflow_blockage,0.886,101.0,80.8
251,3,cooling_airflow_blockage,90,60.1,58.4,83.4,83.2,0.09,3,cooling_airflow_blockage,0.867,103.0,82.4
252,3,cooling_airflow_blockage,89,64.7,58.9,84.9,83.3,0.104,3,cooling_airflow_blockage,0.985,98.7,79.0
253,3,cooling_airflow_blockage,88,63.5,58.5,86.1,83.2,0.108,3,cooling_airflow_blockage,0.971,98.3,78.6
254,3,cooling_airflow_blockage,87,65.8,58.8,86.7,83.2,0.092,3,cooling_airflow_blockage,0.989,94.4,75.5
255,3,cooling_airflow_blockage,86,61.4,57.7,85.3,83.0,0.087,3,cooling_airflow_blockage,0.942,94.8,75.8
256,3,cooling_airflow_blockage,85,64.5,58.6,86.3,83.2,0.08,3,cooling_airflow_blockage,0.913,98.1,78.5
257,3,cooling_airflow_blockage,84,65.4,58.6,87.1,83.2,0.128,3,cooling_airflow_blockage,0.992,94.2,75.4
258,3,cooling_airflow_blockage,83,62.8,57.2,84.7,82.9,0.088,3,cooling_airflow_blockage,0.984,97.9,78.3
259,3,cooling_airflow_blockage,82,68.2,58.7,87.7,83.2,0.101,3,cooling_airflow_blockage,0.998,90.5,72.4
260,3,cooling_airflow_blockage,81,66.1,58.2,86.8,83.1,0.093,3,cooling_airflow_blockage,0.998,91.0,72.8
261,3,cooling_airflow_blockage,80,65.9,57.9,87.5,83.0,0.09,3,cooling_airflow_blockage,0.998,89.5,71.6
262,3,cooling_airflow_blockage,79,66.6,57.8,86.1,83.0,0.106,3,cooling_airflow_blockage,0.998,88.4,70.7
263,3,cooling_airflow_blockage,78,66.6,57.4,86.6,82.9,0.097,3,cooling_airflow_blockage,0.998,82.1,65.7
264,3,cooling_airflow_blockage,77,69.4,58.3,86.7,83.1,0.093,3,cooling_airflow_blockage,1.0,78.8,63.0
265,3,cooling_airflow_blockage,76,69.3,58.1,87.5,83.1,0.094,3,cooling_airflow_blockage,1.0,79.2,63.4
266,3,cooling_airflow_blockage,75,67.4,58.2,88.5,83.1,0.099,3,cooling_airflow_blockage,1.0,81.4,65.1
267,3,cooling_airflow_blockage,74,69.3,57.9,88.0,83.0,0.108,3,cooling_airflow_blockage,1.0,84.6,67.7
268,3,cooling_airflow_blockage,73,68.8,58.0,89.3,83.0,0.082,3,cooling_airflow_blockage,0.944,81.1,64.9
269,3,cooling_airflow_blockage,72,70.6,57.7,87.9,83.0,0.095,3,cooling_airflow_blockage,0.999,84.3,67.4
270,3,cooling_airflow_blockage,71,69.7,58.4,88.7,83.1,0.136,3,cooling_airflow_blockage,0.998,80.4,64.3
271,3,cooling_airflow_blockage,70,71.8,58.1,90.6,83.1,0.084,3,cooling_airflow_blockage,1.0,76.1,60.9
272,3,cooling_airflow_blockage,69,68.8,57.8,88.1,83.0,0.094,3,cooling_airflow_blockage,0.998,82.3,65.8
273,3,cooling_airflow_blockage,68,72.7,57.6,88.6,83.0,0.092,3,cooling_airflow_blockage,1.0,79.0,63.2
274,3,cooling_airflow_blockage,67,69.5,56.7,89.2,82.8,0.088,3,cooling_airflow_blockage,0.979,80.7,64.6
275,3,cooling_airflow_blockage,66,70.7,56.6,88.7,82.7,0.092,3,cooling_airflow_blockage,0.944,79.3,63.4
276,3,cooling_airflow_blockage,65,70.1,57.4,89.3,82.9,0.091,3,cooling_airflow_blockage,0.995,79.8,63.8
