unit_number,cycle,mission_altitude_m,mission_airspeed_kmh,throttle_pct,rpm,rpm_twin,oil_pressure_kpa,oil_pressure_twin,oil_temp_c,oil_temp_twin,fuel_flow_lph,fuel_flow_twin,vibration_rms_g,cht_1_c,cht_2_c,cht_3_c,cht_4_c,cht_1_twin,cht_2_twin,cht_3_twin,cht_4_twin,egt_1_c,egt_2_c,egt_3_c,egt_4_c,egt_1_twin,egt_2_twin,egt_3_twin,egt_4_twin,fault_class,fault_name,fault_severity,RUL,failed_at_end
1,11,1363.6,102.1,87.0,5304.3,5305.3,136.7,141.3,91.4,90.5,15.24,15.42,0.091,102.6,103.2,104.6,105.7,103.7,103.7,103.7,103.7,643.0,653.7,645.1,654.2,651.3,651.3,651.3,651.3,0,healthy,0.0,125,0
1,12,1500.0,103.3,85.8,5248.9,5260.7,143.8,141.1,89.8,90.1,15.54,15.2,0.088,99.8,100.3,101.6,100.8,101.1,101.1,101.1,101.1,647.4,647.6,653.4,643.4,645.4,645.4,645.4,645.4,0,healthy,0.0,125,0
1,13,1636.4,104.5,87.2,5315.8,5313.1,141.3,141.3,90.4,90.1,14.97,15.22,0.112,100.6,101.2,103.1,103.3,100.8,100.8,100.8,100.8,646.4,646.9,652.4,640.9,646.0,646.0,646.0,646.0,0,healthy,0.0,125,0
1,14,1772.7,105.8,86.0,5265.2,5268.4,140.4,141.1,89.9,89.7,15.19,15.01,0.087,95.8,96.9,97.7,97.9,98.3,98.3,98.3,98.3,651.8,646.9,634.4,642.3,640.2,640.2,640.2,640.2,0,healthy,0.0,125,0
1,15,1909.1,107.0,88.0,5343.5,5344.0,141.0,141.4,89.1,89.9,15.21,15.08,0.097,99.8,97.1,98.5,101.6,98.5,98.5,98.5,98.5,643.5,650.7,642.7,645.6,642.1,642.1,642.1,642.1,0,healthy,0.0,125,0
1,16,2045.5,108.2,87.2,5311.8,5314.5,136.3,141.3,88.1,89.6,15.31,14.9,0.098,97.2,97.7,96.8,96.0,96.4,96.4,96.4,96.4,640.2,635.6,643.1,626.5,637.5,637.5,637.5,637.5,0,healthy,0.0,125,0
1,17,2181.8,109.4,87.2,5302.6,5315.1,140.6,141.3,89.5,89.4,14.77,14.8,0.096,94.1,93.2,91.4,94.3,95.0,95.0,95.0,95.0,649.2,637.3,631.3,637.5,634.7,634.7,634.7,634.7,0,healthy,0.0,125,0
1,18,2318.2,110.6,86.9,5300.5,5302.0,144.8,141.3,88.7,89.1,15.1,14.67,0.083,93.8,94.1,92.5,94.4,93.3,93.3,93.3,93.3,640.9,625.3,625.8,639.1,631.1,631.1,631.1,631.1,0,healthy,0.0,125,0
1,19,2454.5,111.8,88.9,5375.8,5380.1,144.5,141.6,86.9,89.3,14.5,14.74,0.114,93.9,95.5,93.1,92.4,93.6,93.6,93.6,93.6,630.3,635.7,623.6,636.9,633.0,633.0,633.0,633.0,0,healthy,0.0,125,0
1,20,2590.9,113.0,87.7,5338.8,5333.5,142.4,141.4,89.5,88.9,14.62,14.53,0.121,90.3,91.6,91.1,91.0,91.3,91.3,91.3,91.3,626.6,628.7,621.5,631.8,627.5,627.5,627.5,627.5,0,healthy,0.0,125,0
1,21,2727.3,114.2,87.6,5329.3,5328.9,139.5,141.4,89.6,88.7,14.64,14.42,0.083,89.8,89.5,89.0,88.7,89.9,89.9,89.9,89.9,617.1,619.2,624.1,626.6,624.5,624.5,624.5,624.5,0,healthy,0.0,125,0
1,22,2863.6,115.5,87.8,5325.9,5337.5,144.8,141.4,89.8,88.6,14.26,14.34,0.087,88.0,89.4,89.0,87.0,88.8,88.8,88.8,88.8,622.0,623.9,617.0,623.5,622.4,622.4,622.4,622.4,0,healthy,0.0,125,0
1,23,3000.0,116.7,88.9,5378.8,5376.9,145.6,141.6,87.3,88.5,14.4,14.32,0.116,85.4,86.9,87.9,87.0,88.2,88.2,88.2,88.2,626.2,633.9,614.9,616.9,621.9,621.9,621.9,621.9,0,healthy,0.0,125,0
1,24,3136.4,117.9,88.9,5371.7,5376.3,144.8,141.6,87.7,88.4,14.03,14.22,0.091,85.0,85.4,86.5,86.4,87.0,87.0,87.0,87.0,624.1,620.7,608.6,622.3,619.3,619.3,619.3,619.3,0,healthy,0.0,125,0
1,25,3272.7,119.1,89.0,5377.4,5383.9,138.4,141.6,88.9,88.2,14.21,14.14,0.092,86.8,86.4,83.9,86.5,85.9,85.9,85.9,85.9,610.8,618.5,608.5,619.7,617.0,617.0,617.0,617.0,0,healthy,0.0,125,0
1,26,3409.1,120.3,89.2,5401.2,5390.3,139.0,141.6,85.6,88.1,14.54,14.05,0.131,86.5,84.3,84.8,85.1,84.8,84.8,84.8,84.8,611.1,617.6,611.6,612.3,614.8,614.8,614.8,614.8,0,healthy,0.0,125,0
1,27,3545.5,121.5,91.1,5449.1,5461.1,143.7,141.9,90.2,88.1,14.15,14.1,0.087,84.3,82.5,84.5,84.5,84.8,84.8,84.8,84.8,614.8,609.3,619.4,619.1,616.0,616.0,616.0,616.0,0,healthy,0.0,125,0
1,28,3681.8,122.7,88.7,5361.2,5370.0,143.0,141.6,88.0,87.7,13.56,13.82,0.084,81.9,82.8,80.0,82.3,82.1,82.1,82.1,82.1,606.3,619.7,607.5,618.6,608.6,608.6,608.6,608.6,0,healthy,0.0,125,0
1,29,3818.2,123.9,88.7,5358.8,5371.7,142.8,141.6,87.0,87.5,12.96,13.73,0.096,82.5,80.6,79.0,81.0,81.0,81.0,81.0,81.0,600.8,604.1,605.7,595.9,606.2,606.2,606.2,606.2,0,healthy,0.0,125,0
1,30,3954.5,125.2,88.6,5364.7,5366.0,143.6,141.5,87.9,87.3,14.0,13.63,0.09,80.1,78.9,78.2,80.8,79.8,79.8,79.8,79.8,605.5,617.7,605.9,605.7,603.4,603.4,603.4,603.4,0,healthy,0.0,125,0
1,31,4090.9,126.4,90.2,5433.8,5426.1,136.2,141.8,86.5,87.3,13.41,13.65,0.126,79.1,79.1,80.6,81.5,79.7,79.7,79.7,79.7,601.2,601.4,605.9,602.5,604.0,604.0,604.0,604.0,0,healthy,0.0,125,0
1,32,4227.3,127.6,90.8,5443.6,5451.4,139.6,141.9,87.8,87.3,13.54,13.6,0.093,77.8,77.9,78.7,80.3,79.0,79.0,79.0,79.0,601.3,596.6,602.4,609.0,602.8,602.8,602.8,602.8,0,healthy,0.0,125,0
1,33,4363.6,128.8,89.7,5407.1,5409.9,139.2,141.7,86.9,87.0,13.77,13.44,0.126,77.2,78.1,76.0,77.2,77.3,77.3,77.3,77.3,597.0,591.0,588.9,602.4,598.3,598.3,598.3,598.3,0,healthy,0.0,125,0
1,34,4500.0,130.0,89.2,5388.5,5388.1,143.0,141.6,86.6,86.7,13.39,13.31,0.083,74.1,74.8,77.6,76.2,75.9,75.9,75.9,75.9,599.4,588.0,588.1,597.5,594.8,594.8,594.8,594.8,0,healthy,0.0,125,0
1,35,4500.0,130.0,59.2,4249.5,4248.7,139.2,136.8,84.9,83.1,11.41,11.25,0.087,59.7,59.7,56.8,56.1,58.8,58.8,58.8,58.8,546.1,547.2,533.9,528.9,540.1,540.1,540.1,540.1,0,healthy,0.0,125,0
1,36,4505.3,130.1,60.8,4316.6,4309.8,138.7,137.1,83.8,83.3,11.74,11.36,0.093,58.6,59.7,59.3,58.4,59.7,59.7,59.7,59.7,555.2,553.6,549.8,537.4,542.9,542.9,542.9,542.9,0,healthy,0.0,125,0
1,37,4510.6,130.2,61.0,4332.2,4318.3,140.5,137.1,83.6,83.3,11.78,11.37,0.08,60.6,60.5,60.2,57.6,59.7,59.7,59.7,59.7,543.8,539.9,535.6,553.4,543.3,543.3,543.3,543.3,0,healthy,0.0,125,0
1,38,4515.9,130.3,60.9,4322.9,4315.8,137.2,137.1,83.6,83.3,11.38,11.37,0.084,59.9,58.4,60.1,59.7,59.7,59.7,59.7,59.7,535.3,542.8,542.6,553.9,543.1,543.1,543.1,543.1,0,healthy,0.0,125,0
1,39,4521.2,130.4,59.9,4282.8,4274.8,139.6,137.0,84.2,83.2,11.3,11.29,0.097,57.7,58.8,58.1,57.5,59.0,59.0,59.0,59.0,544.1,543.4,530.4,540.3,541.1,541.1,541.1,541.1,0,healthy,0.0,125,0
1,40,4526.5,130.6,60.9,4315.7,4314.0,136.6,137.1,82.7,83.3,11.43,11.36,0.09,58.3,60.0,60.0,61.1,59.6,59.6,59.6,59.6,549.5,542.1,535.4,541.0,542.9,542.9,542.9,542.9,0,healthy,0.0,125,0
1,41,4531.8,130.7,60.9,4305.3,4314.6,131.8,137.1,81.5,83.3,11.37,11.36,0.081,58.8,59.9,59.1,59.8,59.5,59.5,59.5,59.5,544.5,536.0,540.0,551.5,542.9,542.9,542.9,542.9,0,healthy,0.0,125,0
1,42,4537.1,130.8,61.1,4316.3,4323.4,136.3,137.2,84.8,83.3,11.92,11.37,0.087,59.5,61.1,56.4,60.1,59.6,59.6,59.6,59.6,552.6,536.4,540.9,538.7,543.2,543.2,543.2,543.2,0,healthy,0.0,125,0
1,43,4542.3,130.9,61.9,4347.5,4353.2,139.7,137.3,83.1,83.4,11.27,11.42,0.098,62.3,60.1,62.1,59.9,60.0,60.0,60.0,60.0,545.4,546.8,563.6,549.7,544.6,544.6,544.6,544.6,0,healthy,0.0,125,0
1,44,4547.6,131.0,61.4,4321.9,4333.5,137.1,137.2,83.4,83.4,11.18,11.38,0.097,59.7,60.0,59.7,60.1,59.7,59.7,59.7,59.7,546.1,531.9,547.6,537.7,543.6,543.6,543.6,543.6,0,healthy,0.0,125,0
1,45,4552.8,131.1,62.0,4340.5,4355.7,132.4,137.3,83.4,83.4,11.36,11.42,0.082,58.4,59.5,59.3,59.9,60.0,60.0,60.0,60.0,546.2,538.5,548.9,544.9,544.6,544.6,544.6,544.6,0,healthy,0.0,125,0
1,46,4558.0,131.2,61.5,4333.8,4337.3,131.0,137.2,81.7,83.4,11.14,11.39,0.091,59.7,60.0,60.8,58.4,59.7,59.7,59.7,59.7,536.6,537.1,545.4,551.1,543.6,543.6,543.6,543.6,0,healthy,0.0,125,0
1,47,4563.2,131.3,61.9,4353.6,4350.5,137.5,137.3,83.3,83.4,11.88,11.41,0.092,59.4,59.9,59.5,61.1,59.9,59.9,59.9,59.9,540.1,539.0,547.1,535.0,544.2,544.2,544.2,544.2,0,healthy,0.0,125,0
1,48,4568.4,131.4,62.3,4363.3,4368.3,139.8,137.3,84.6,83.5,11.87,11.44,0.091,62.5,59.8,58.5,60.2,60.1,60.1,60.1,60.1,538.5,540.5,547.4,548.3,545.0,545.0,545.0,545.0,0,healthy,0.0,125,0
1,49,4573.6,131.5,60.4,4292.3,4293.6,138.1,137.0,83.0,83.2,11.32,11.3,0.08,60.6,56.7,58.6,57.9,58.9,58.9,58.9,58.9,542.1,537.9,540.4,552.7,541.4,541.4,541.4,541.4,0,healthy,0.0,125,0
1,50,4578.7,131.6,61.6,4348.5,4341.5,137.8,137.2,84.2,83.4,11.53,11.38,0.104,60.1,61.0,61.6,60.0,59.6,59.6,59.6,59.6,547.1,536.7,543.1,549.2,543.6,543.6,543.6,543.6,0,healthy,0.0,125,0
1,51,4583.8,131.7,61.6,4344.2,4340.4,134.3,137.2,82.6,83.4,11.79,11.38,0.09,59.9,59.1,60.0,56.0,59.6,59.6,59.6,59.6,545.8,521.6,533.1,546.2,543.5,543.5,543.5,543.5,0,healthy,0.0,125,0
1,52,4588.9,131.8,61.5,4327.7,4338.6,136.6,137.2,82.6,83.3,11.65,11.37,0.081,62.2,59.5,60.0,61.4,59.5,59.5,59.5,59.5,544.1,537.3,542.7,543.1,543.3,543.3,543.3,543.3,0,healthy,0.0,125,0
1,53,4594.0,131.9,62.0,4345.6,4356.9,138.4,137.3,83.9,83.4,10.95,11.41,0.085,59.4,59.6,60.0,60.5,59.7,59.7,59.7,59.7,538.1,537.9,550.8,541.7,544.1,544.1,544.1,544.1,0,healthy,0.0,125,0
1,54,4599.0,132.0,63.9,4440.5,4428.6,142.1,137.6,84.9,83.6,11.5,11.53,0.087,61.6,61.2,61.5,59.1,60.8,60.8,60.8,60.8,549.5,545.7,544.6,552.7,547.5,547.5,547.5,547.5,0,healthy,0.0,125,0
1,55,4604.0,132.1,61.7,4343.3,4343.3,138.1,137.2,84.0,83.3,11.26,11.38,0.095,60.4,59.6,59.6,60.5,59.5,59.5,59.5,59.5,543.0,539.0,540.9,547.2,543.4,543.4,543.4,543.4,0,healthy,0.0,125,0
1,56,4609.0,132.2,63.6,4415.1,4417.3,136.7,137.6,84.2,83.6,11.61,11.51,0.086,61.0,59.0,62.2,59.9,60.5,60.5,60.5,60.5,536.9,540.6,540.7,547.1,546.8,546.8,546.8,546.8,0,healthy,0.0,125,0
1,57,4613.9,132.3,61.1,4330.3,4320.8,137.7,137.1,82.8,83.3,11.48,11.33,0.091,59.6,59.8,56.5,58.6,59.1,59.1,59.1,59.1,529.1,542.4,542.2,548.5,542.2,542.2,542.2,542.2,0,healthy,0.0,125,0
1,58,4618.8,132.4,62.5,4377.0,4376.2,135.5,137.4,82.6,83.4,11.27,11.43,0.091,59.8,61.0,59.2,60.8,59.8,59.8,59.8,59.8,548.8,539.0,550.6,548.9,544.8,544.8,544.8,544.8,0,healthy,0.0,125,0
1,59,4623.6,132.5,63.1,4400.4,4399.2,138.5,137.5,83.6,83.5,11.6,11.47,0.083,59.0,60.7,58.7,59.9,60.1,60.1,60.1,60.1,546.4,560.5,537.5,554.6,545.8,545.8,545.8,545.8,0,healthy,0.0,125,0
1,60,4628.5,132.6,63.7,4418.7,4419.3,137.1,137.6,82.5,83.6,11.43,11.5,0.112,62.2,59.9,61.8,59.6,60.4,60.4,60.4,60.4,546.3,540.2,549.4,555.3,546.7,546.7,546.7,546.7,0,healthy,0.0,125,0
1,61,4633.2,132.7,63.9,4431.5,4428.0,137.8,137.6,83.7,83.6,11.39,11.51,0.108,59.4,60.8,62.1,63.9,60.5,60.5,60.5,60.5,543.5,555.6,548.5,546.1,547.0,547.0,547.0,547.0,0,healthy,0.0,125,0
1,62,4638.0,132.8,64.1,4444.8,4435.0,141.6,137.6,84.1,83.6,11.82,11.52,0.105,58.7,61.4,60.2,59.9,60.6,60.6,60.6,60.6,547.4,552.1,548.4,543.4,547.3,547.3,547.3,547.3,0,healthy,0.0,125,0
1,63,4642.7,132.9,63.0,4405.8,4395.3,139.6,137.5,85.0,83.5,11.37,11.45,0.103,61.3,60.7,60.7,60.6,60.0,60.0,60.0,60.0,538.8,549.6,537.2,540.6,545.4,545.4,545.4,545.4,0,healthy,0.0,125,0
1,64,4647.3,133.0,63.0,4394.7,4394.7,135.6,137.5,83.2,83.5,11.39,11.45,0.085,59.6,60.0,60.0,61.3,59.9,59.9,59.9,59.9,543.1,547.4,539.3,548.0,545.3,545.3,545.3,545.3,0,healthy,0.0,125,0
1,65,4651.9,133.1,64.4,4447.1,4448.4,140.9,137.7,83.7,83.6,11.55,11.54,0.082,62.8,60.6,60.4,58.2,60.7,60.7,60.7,60.7,542.4,546.2,543.7,556.1,547.8,547.8,547.8,547.8,0,healthy,0.0,125,0
1,66,4656.5,133.2,63.5,4409.0,4412.0,140.1,137.5,84.6,83.5,11.53,11.47,0.099,60.1,62.2,57.3,57.7,60.1,60.1,60.1,60.1,542.7,546.1,550.1,548.8,546.0,546.0,546.0,546.0,0,healthy,0.0,125,0
1,67,4661.0,133.3,62.5,4364.7,4374.2,136.5,137.4,83.1,83.4,10.95,11.41,0.1,59.9,58.9,60.4,59.7,59.5,59.5,59.5,59.5,544.2,553.0,529.4,535.6,544.1,544.1,544.1,544.1,0,healthy,0.0,125,0
1,68,4665.4,133.3,62.7,4374.9,4382.9,137.2,137.4,81.8,83.4,11.19,11.42,0.083,58.6,62.6,61.8,59.1,59.6,59.6,59.6,59.6,542.3,537.6,533.1,543.8,544.5,544.5,544.5,544.5,0,healthy,0.0,125,0
1,69,4669.8,133.4,63.0,4391.7,4394.2,138.4,137.5,84.1,83.5,11.39,11.44,0.111,60.2,60.3,58.2,60.8,59.8,59.8,59.8,59.8,540.2,548.8,544.9,536.7,545.0,545.0,545.0,545.0,0,healthy,0.0,125,0
1,70,4674.2,133.5,64.5,4442.6,4451.1,134.4,137.7,83.1,83.6,11.66,11.54,0.082,61.8,60.2,61.5,62.9,60.6,60.6,60.6,60.6,559.4,540.2,542.1,556.5,547.6,547.6,547.6,547.6,0,healthy,0.0,124,0
1,71,4678.5,133.6,64.2,4439.1,4440.6,135.9,137.7,80.9,83.6,11.1,11.52,0.116,59.6,59.6,59.5,59.3,60.4,60.4,60.4,60.4,560.8,548.9,552.4,544.1,547.1,547.1,547.1,547.1,0,healthy,0.0,123,0
1,72,4682.7,133.7,64.8,4468.5,4464.3,139.6,137.7,83.1,83.7,11.72,11.55,0.091,58.0,59.3,62.3,60.6,60.7,60.7,60.7,60.7,555.9,550.6,552.8,542.7,548.1,548.1,548.1,548.1,0,healthy,0.0,122,0
1,73,4686.9,133.7,63.8,4429.5,4424.5,141.5,137.6,84.8,83.5,11.18,11.48,0.114,59.4,58.7,58.7,60.2,60.1,60.1,60.1,60.1,548.2,541.5,546.4,549.6,546.2,546.2,546.2,546.2,0,healthy,0.0,121,0
1,74,4691.0,133.8,64.5,4461.6,4449.4,135.7,137.7,83.9,83.6,11.31,11.52,0.093,59.8,61.7,60.5,59.9,60.4,60.4,60.4,60.4,536.5,546.3,538.0,553.1,547.3,547.3,547.3,547.3,0,healthy,0.0,120,0
1,75,4695.1,133.9,65.0,4469.3,4469.7,137.5,137.8,82.8,83.7,11.76,11.56,0.093,61.6,60.6,62.8,60.1,60.7,60.7,60.7,60.7,554.2,548.8,553.0,545.5,548.2,548.2,548.2,548.2,0,healthy,0.0,119,0
1,76,4699.1,133.9,64.1,4449.5,4436.6,138.5,137.6,83.3,83.6,11.86,11.5,0.123,60.9,62.0,61.9,59.7,60.2,60.2,60.2,60.2,548.9,542.9,546.8,543.0,546.6,546.6,546.6,546.6,0,healthy,0.0,118,0
1,77,4703.0,134.0,64.9,4469.3,4468.0,136.7,137.8,83.3,83.7,10.91,11.55,0.085,58.2,61.6,60.7,60.9,60.6,60.6,60.6,60.6,540.1,547.9,560.1,553.0,548.1,548.1,548.1,548.1,0,healthy,0.0,117,0
1,78,4706.9,134.1,63.9,4433.6,4427.6,137.0,137.6,81.0,83.5,11.18,11.48,0.105,61.0,58.1,59.2,58.6,60.0,60.0,60.0,60.0,540.3,546.4,533.6,549.8,546.1,546.1,546.1,546.1,0,healthy,0.0,116,0
1,79,4710.7,134.1,64.2,4439.4,4441.0,138.6,137.7,82.1,83.6,11.86,11.5,0.095,56.8,59.8,58.8,61.1,60.2,60.2,60.2,60.2,542.6,549.1,550.1,557.7,546.7,546.7,546.7,546.7,0,healthy,0.0,115,0
1,80,4714.5,134.2,64.3,4448.1,4442.2,133.0,137.7,82.5,83.6,11.76,11.5,0.085,59.5,60.1,58.3,60.4,60.2,60.2,60.2,60.2,552.5,548.5,537.2,546.0,546.7,546.7,546.7,546.7,0,healthy,0.0,114,0
1,81,4718.1,134.3,63.5,4416.6,4413.1,136.2,137.5,82.4,83.5,12.14,11.45,0.087,60.2,62.0,60.3,60.5,59.7,59.7,59.7,59.7,561.6,544.0,540.5,547.9,545.3,545.3,545.3,545.3,0,healthy,0.0,113,0
1,82,4721.8,134.3,65.2,4482.4,4478.7,136.9,137.8,83.2,83.7,11.44,11.56,0.085,59.8,61.7,60.5,60.3,60.6,60.6,60.6,60.6,551.7,540.6,550.4,559.8,548.3,548.3,548.3,548.3,0,healthy,0.0,112,0
1,83,4725.3,134.4,64.3,4453.8,4443.9,140.1,137.7,82.0,83.6,11.75,11.5,0.088,59.7,61.2,58.0,61.2,60.1,60.1,60.1,60.1,544.4,548.9,539.9,554.6,546.6,546.6,546.6,546.6,0,healthy,0.0,111,0
1,84,4728.8,134.4,64.8,4440.7,4463.6,137.0,137.7,83.5,83.6,11.01,11.53,0.082,58.5,60.4,60.8,61.0,60.4,60.4,60.4,60.4,548.6,549.3,556.4,554.9,547.5,547.5,547.5,547.5,0,healthy,0.0,110,0
1,85,4732.2,134.5,65.3,4467.7,4482.7,142.5,137.8,84.3,83.7,11.51,11.56,0.092,62.1,59.3,61.0,59.5,60.6,60.6,60.6,60.6,544.3,557.2,545.1,551.2,548.4,548.4,548.4,548.4,0,healthy,0.0,109,0
1,86,4735.5,134.5,65.3,4487.7,4482.5,137.8,137.8,84.2,83.7,11.44,11.56,0.125,58.9,62.0,60.2,60.4,60.6,60.6,60.6,60.6,545.4,544.8,552.5,549.9,548.3,548.3,548.3,548.3,0,healthy,0.0,108,0
1,87,4738.7,134.6,65.6,4490.1,4491.9,137.3,137.9,84.1,83.7,12.0,11.58,0.084,58.8,62.2,62.4,59.7,60.7,60.7,60.7,60.7,562.1,554.7,554.6,548.9,548.7,548.7,548.7,548.7,0,healthy,0.0,107,0
1,88,4741.9,134.6,64.8,4450.6,4463.7,138.3,137.7,83.5,83.6,11.39,11.53,0.139,59.2,61.3,61.4,61.1,60.3,60.3,60.3,60.3,551.8,545.7,541.8,542.2,547.4,547.4,547.4,547.4,0,healthy,0.0,106,0
1,89,4745.0,134.7,64.5,4470.7,4452.1,141.5,137.7,83.3,83.6,11.33,11.5,0.087,58.6,61.5,59.3,60.6,60.1,60.1,60.1,60.1,538.4,555.4,545.9,548.5,546.8,546.8,546.8,546.8,0,healthy,0.0,105,0
1,90,4748.0,134.7,64.9,4468.7,4465.8,140.2,137.8,82.9,83.6,11.27,11.53,0.089,60.9,60.2,59.8,62.1,60.3,60.3,60.3,60.3,546.7,561.2,547.9,558.1,547.4,547.4,547.4,547.4,0,healthy,0.0,104,0
1,91,4751.0,134.7,63.3,4405.1,4405.2,131.9,137.5,83.2,83.4,11.37,11.42,0.122,60.6,59.5,57.9,57.8,59.4,59.4,59.4,59.4,536.0,533.9,545.2,551.3,544.5,544.5,544.5,544.5,0,healthy,0.0,103,0
1,92,4753.9,134.8,63.5,4408.2,4414.7,139.7,137.5,82.1,83.5,11.53,11.43,0.084,57.8,59.1,61.6,60.1,59.5,59.5,59.5,59.5,548.3,545.6,546.9,549.6,544.9,544.9,544.9,544.9,0,healthy,0.0,102,0
1,93,4756.7,134.8,63.7,4425.3,4419.6,134.6,137.6,82.9,83.5,11.25,11.44,0.107,58.8,59.6,58.8,58.3,59.6,59.6,59.6,59.6,543.0,538.5,547.1,538.2,545.1,545.1,545.1,545.1,0,healthy,0.0,101,0
1,94,4759.4,134.8,64.0,4436.5,4432.1,139.9,137.6,81.5,83.5,10.96,11.46,0.084,60.1,59.5,60.3,57.2,59.7,59.7,59.7,59.7,545.4,557.7,546.5,546.1,545.7,545.7,545.7,545.7,0,healthy,0.0,100,0
1,95,4762.0,134.9,65.4,4481.7,4485.1,140.5,137.8,84.9,83.7,11.5,11.55,0.123,59.6,62.1,60.1,58.2,60.5,60.5,60.5,60.5,540.5,531.6,546.7,547.0,548.1,548.1,548.1,548.1,0,healthy,0.0,99,0
1,96,4764.5,134.9,64.1,4421.9,4435.4,135.3,137.6,85.0,83.5,11.39,11.47,0.097,60.5,60.4,60.1,60.9,59.8,59.8,59.8,59.8,538.8,557.8,540.0,550.3,545.8,545.8,545.8,545.8,0,healthy,0.0,98,0
1,97,4767.0,134.9,64.6,4442.6,4455.1,135.9,137.7,83.0,83.6,11.39,11.5,0.108,60.3,59.9,61.7,59.8,60.0,60.0,60.0,60.0,536.0,541.8,550.0,549.0,546.7,546.7,546.7,546.7,0,healthy,0.0,97,0
1,98,4769.4,134.9,66.3,4509.2,4518.4,135.6,138.0,83.1,83.8,11.26,11.61,0.083,60.2,60.1,61.9,61.9,60.9,60.9,60.9,60.9,548.7,547.2,550.4,544.7,549.6,549.6,549.6,549.6,0,healthy,0.0,96,0
1,99,4771.7,134.9,64.6,4455.1,4454.9,140.3,137.7,81.3,83.6,11.6,11.5,0.104,60.9,58.1,60.0,59.7,60.0,60.0,60.0,60.0,548.6,546.5,537.9,539.0,546.6,546.6,546.6,546.6,0,healthy,0.0,95,0
1,100,4773.9,135.0,65.7,4492.1,4495.8,134.4,137.9,82.3,83.7,11.52,11.57,0.095,60.4,61.2,59.7,60.4,60.6,60.6,60.6,60.6,538.7,534.4,554.1,542.6,548.5,548.5,548.5,548.5,0,healthy,0.0,94,0
1,101,4776.0,135.0,64.0,4441.5,4431.4,134.1,137.6,83.2,83.5,11.86,11.45,0.09,60.1,60.2,60.0,59.9,59.7,59.7,59.7,59.7,554.9,539.0,545.1,552.2,545.4,545.4,545.4,545.4,0,healthy,0.0,93,0
